First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Curtis,Stout,,"6' 1\"",185 lbs.,--,Southpaw,11.0,12.0,1.0,
Sam,Stout,Hands of Stone,"5' 9\"",155 lbs.,"70.0\"",Orthodox,20.0,12.0,1.0,
Tim,Stout,,"5' 11\"",185 lbs.,--,,12.0,10.0,0.0,
Jesse,Strader,Sui Generis,"5' 7\"",135 lbs.,"70.0\"",Orthodox,5.0,3.0,0.0,
Gennaro,Strangis,,--,--,--,,0.0,1.0,0.0,
Dave,Strasser,,"5' 10\"",170 lbs.,--,Orthodox,25.0,8.0,0.0,
Daniel,Straus,,"5' 7\"",145 lbs.,"71.0\"",,24.0,7.0,0.0,
Gerald,Strebendt,The Finishing Machine,"5' 9\"",155 lbs.,--,Orthodox,9.0,7.0,0.0,
Sean,Strickland,,"6' 1\"",185 lbs.,"76.0\"",Orthodox,27.0,5.0,0.0,
Mark,Striegl,Mugen,"5' 8\"",145 lbs.,"70.0\"",Southpaw,18.0,4.0,0.0,
Hans,Stringer,,"6' 3\"",205 lbs.,--,Orthodox,22.0,8.0,3.0,
Stefan,Struve,Skyscraper,"6' 11\"",265 lbs.,"84.0\"",Orthodox,33.0,13.0,0.0,
Josh,Stuart,,"5' 9\"",160 lbs.,--,,1.0,4.0,0.0,
Mike,Stumpf,,"5' 10\"",170 lbs.,--,,11.0,4.0,0.0,
Kyle,Sturgeon,,"6' 3\"",225 lbs.,--,Switch,0.0,1.0,0.0,
Tatiana,Suarez,,"5' 5\"",115 lbs.,"66.0\"",Southpaw,10.0,0.0,0.0,
Masanori,Suda,,"5' 9\"",183 lbs.,--,Orthodox,22.0,11.0,3.0,
Genki,Sudo,Neo-Samurai,"5' 9\"",155 lbs.,--,Orthodox,15.0,4.0,2.0,
Lucasz,Sudolski,,"6' 4\"",205 lbs.,"75.0\"",Orthodox,8.0,1.0,0.0,
Daisuke,Sugie,Amazon,"5' 6\"",160 lbs.,--,Orthodox,10.0,8.0,1.0,
Takashi,Sugiura,,"5' 11\"",225 lbs.,--,Southpaw,1.0,3.0,0.0,
Naho,Sugiyuma,Sugi Rock,"5' 1\"",105 lbs.,--,,12.0,5.0,0.0,
George,Sullivan,The Silencer,"6' 0\"",170 lbs.,"73.0\"",Orthodox,17.0,7.0,0.0,
Amar,Suloev,,"5' 9\"",183 lbs.,--,Orthodox,24.0,7.0,0.0,
Magomed,Sultanakhmedov,,"6' 2\"",185 lbs.,--,Southpaw,18.0,6.0,0.0,
Justin,Sumter,,"6' 2\"",185 lbs.,"80.0\"",Southpaw,7.0,3.0,0.0,
,Sumudaerji,The Tibetan Eagle,"5' 8\"",125 lbs.,"72.0\"",Southpaw,16.0,5.0,0.0,
Rama,Supandhi,Hellboy,"5' 5\"",125 lbs.,"66.0\"",Southpaw,8.0,4.0,0.0,
Aji,Susilo,,"5' 10\"",155 lbs.,--,,6.0,4.0,0.0,
Jason,Suttie,Nobunaga,"6' 0\"",210 lbs.,--,Orthodox,0.0,1.0,0.0,
Joel,Sutton,,"5' 11\"",205 lbs.,--,Orthodox,2.0,4.0,1.0,
Chad,Sutton,,"6' 1\"",185 lbs.,--,,2.0,2.0,0.0,
Danilo,Suzart,,"6' 0\"",260 lbs.,--,Orthodox,9.0,2.0,0.0,
Martin,Svensson,,"6' 1\"",155 lbs.,--,,15.0,6.0,0.0,
Daniel,Swain,,"5' 9\"",145 lbs.,"70.0\"",Orthodox,20.0,10.0,1.0,
Cub,Swanson,,"5' 8\"",145 lbs.,"70.0\"",Orthodox,28.0,13.0,0.0,
Mike,Swick,Quick,"6' 1\"",170 lbs.,"77.0\"",Orthodox,15.0,6.0,0.0,
Floyd,Sword,,"6' 0\"",185 lbs.,--,Orthodox,12.0,3.0,0.0,
Oumar,Sy,,--,205 lbs.,--,,6.0,0.0,0.0,
Bentley,Syler,Bolivia,"5' 4\"",125 lbs.,--,Orthodox,5.0,1.0,0.0,
Kevin,Syler,El Nino Bala,"5' 9\"",155 lbs.,"71.0\"",Switch,10.0,1.0,0.0,
Leo,Sylvest,Lethal,"5' 11\"",205 lbs.,--,Orthodox,10.0,16.0,0.0,
Tony,Sylvester,,"6' 1\"",225 lbs.,--,Southpaw,11.0,3.0,0.0,
Tim,Sylvia,The Maine-iac,"6' 8\"",265 lbs.,"80.0\"",Orthodox,31.0,10.0,0.0,
Kevin,Szaflarski,,--,260 lbs.,--,,10.0,1.0,0.0,
Osamu,Tachihikari,,"6' 5\"",300 lbs.,--,Orthodox,0.0,4.0,0.0,
Amber,Tackett,,--,115 lbs.,--,,1.0,3.0,0.0,
Eugenio,Tadeu,,"5' 8\"",160 lbs.,--,Orthodox,2.0,3.0,0.0,
Justin,Tafa,Bad Man,"6' 0\"",264 lbs.,"74.0\"",Southpaw,6.0,3.0,0.0,
Junior,Tafa,The Juggernaut,"6' 3\"",240 lbs.,"72.0\"",Orthodox,4.0,1.0,0.0,
Khalid,Taha,The Warrior,"5' 5\"",135 lbs.,"69.0\"",Orthodox,13.0,5.0,0.0,
Joe,Taimanglo,The Juggernaut,"5' 4\"",135 lbs.,--,,23.0,7.0,1.0,
Tatsuro,Taira,,"5' 7\"",125 lbs.,"70.0\"",Orthodox,14.0,0.0,0.0,
Mairbek,Taisumov,Beckan,"5' 9\"",155 lbs.,"73.0\"",Orthodox,27.0,6.0,0.0,
Nobuhiko,Takada,,"6' 0\"",220 lbs.,--,Southpaw,2.0,6.0,2.0,
Yoshiki,Takahashi,Kazuo,"5' 11\"",199 lbs.,--,Southpaw,30.0,27.0,3.0,
Yoko,Takahashi,,"5' 8\"",150 lbs.,--,,15.0,12.0,2.0,
Daiju,Takase,,"6' 0\"",170 lbs.,--,Southpaw,12.0,15.0,2.0,
Hiroyuki,Takaya,Streetfight Bancho,"5' 6\"",139 lbs.,--,Orthodox,21.0,14.0,2.0,
Yoshihiro,Takayama,,"6' 5\"",280 lbs.,--,Orthodox,1.0,4.0,0.0,
Makoto,Takimoto,,"5' 7\"",205 lbs.,--,Southpaw,6.0,5.0,0.0,
Oleg,Taktarov,The Russian Bear,"6' 0\"",210 lbs.,--,Orthodox,17.0,5.0,2.0,
Payton,Talbott,,--,135 lbs.,--,,5.0,0.0,0.0,
Nordine,Taleb,,"6' 1\"",170 lbs.,"74.0\"",Orthodox,15.0,7.0,0.0,
Murtaza,Talha,,--,205 lbs.,--,,6.0,0.0,0.0,
Tsuyoshi,Tamakairiki,,"6' 0\"",220 lbs.,--,Orthodox,0.0,3.0,0.0,
Eli,Tamez,Tomahawk,"5' 7\"",135 lbs.,--,,10.0,0.0,0.0,
Kiyoshi,Tamura,,"5' 11\"",185 lbs.,--,Southpaw,32.0,13.0,3.0,
Akitoshi,Tamura,The Ironman,"5' 9\"",135 lbs.,"70.0\"",Orthodox,21.0,18.0,2.0,
Issei,Tamura,,"5' 5\"",135 lbs.,"63.0\"",Orthodox,10.0,8.0,0.0,
Jason,Tan,,"5' 10\"",170 lbs.,--,Orthodox,5.0,3.0,0.0,
Akihito,Tanaka,Kinniku Mantaro,--,--,--,Southpaw,2.0,2.0,0.0,
Michinori,Tanaka,,"5' 5\"",135 lbs.,"67.0\"",Orthodox,11.0,3.0,0.0,
Evan,Tanner,,"6' 0\"",185 lbs.,"74.0\"",Orthodox,32.0,8.0,0.0,
Kasey,Tanner,,--,135 lbs.,--,,6.0,0.0,0.0,
Manny,Tapia,The Mangler,"5' 5\"",135 lbs.,"67.0\"",Orthodox,12.0,14.0,1.0,
Gary,Tapusoa,,"5' 7\"",185 lbs.,--,,8.0,3.0,0.0,
Miesha,Tate,Cupcake,"5' 6\"",135 lbs.,"65.0\"",Orthodox,19.0,9.0,0.0,
Deividas,Taurosevicius,,"5' 9\"",145 lbs.,"68.0\"",Southpaw,17.0,5.0,0.0,
Thiago,Tavares,,"5' 7\"",145 lbs.,"70.0\"",Orthodox,21.0,7.0,1.0,
Jeremy,Tavares,,--,135 lbs.,--,,1.0,6.0,0.0,
Brad,Tavares,,"6' 1\"",185 lbs.,"74.0\"",Orthodox,19.0,9.0,0.0,
Ramon,Taveras,The Savage,--,145 lbs.,--,,7.0,1.0,0.0,
Paul,Taylor,Relentless,"6' 0\"",155 lbs.,"72.0\"",Orthodox,11.0,6.0,1.0,
Jesse,Taylor,JT Money,"6' 0\"",170 lbs.,"73.0\"",Orthodox,31.0,15.0,0.0,
Torrance,Taylor,,"5' 7\"",155 lbs.,--,,13.0,8.0,1.0,
Louis,Taylor,Handgunz,"5' 11\"",185 lbs.,--,Orthodox,13.0,4.0,0.0,
Anthony,Taylor,Pretty Boy,"5' 7\"",145 lbs.,--,,1.0,3.0,0.0,
Danielle,Taylor,Dynamite,"5' 0\"",115 lbs.,"60.0\"",Orthodox,9.0,4.0,0.0,
J.T,Taylor,The Outlaw,"5' 10\"",--,--,,7.0,7.0,0.0,
James,Te Huna,,"6' 2\"",185 lbs.,"75.0\"",Orthodox,16.0,9.0,0.0,
Shawn,Teed,,"6' 5\"",265 lbs.,--,Orthodox,5.0,2.0,0.0,
Glover,Teixeira,,"6' 2\"",205 lbs.,"76.0\"",Orthodox,33.0,9.0,0.0,
John,Teixeira,Macapa,"5' 7\"",145 lbs.,--,Orthodox,21.0,2.0,2.0,
Ewerton,Teixeira,,"6' 1\"",242 lbs.,--,,3.0,1.0,0.0,
Tra,Telligman,Trauma,"6' 2\"",233 lbs.,--,Orthodox,7.0,5.0,1.0,
Taneisha,Tennant,Triple Threat,"5' 7\"",145 lbs.,"70.0\"",Orthodox,5.0,1.0,0.0,
Herman,Terrado,,--,170 lbs.,--,,15.0,3.0,1.0,
Dave,Terrel,The Bionic,"5' 8\"",170 lbs.,--,Southpaw,7.0,7.0,0.0,
David,Terrell,The Soul Assassin,"6' 1\"",185 lbs.,--,Southpaw,6.0,2.0,0.0,
James,Terry,Intensity,"5' 10\"",170 lbs.,--,Orthodox,19.0,9.0,0.0,
Jeff,Terry,,"6' 2\"",205 lbs.,--,,2.0,3.0,0.0,
David,Teymur,,"5' 9\"",155 lbs.,"73.0\"",Southpaw,8.0,2.0,0.0,
Daniel,Teymur,Kid Dynamite,"5' 5\"",145 lbs.,"69.0\"",Orthodox,7.0,4.0,0.0,
Motonobu,Tezuka,,"5' 7\"",135 lbs.,--,Southpaw,28.0,12.0,7.0,
Jason,Thacker,,"5' 10\"",185 lbs.,--,Orthodox,0.0,1.0,0.0,
Brandon,Thatch,Rukus,"6' 2\"",170 lbs.,"74.0\"",Switch,11.0,5.0,0.0,
Elias,Theodorou,The Spartan,"6' 1\"",185 lbs.,"75.0\"",Orthodox,16.0,3.0,0.0,
Nik,Theotikos,,--,185 lbs.,--,Orthodox,6.0,2.0,0.0,
Paulo,Thiago,,"5' 11\"",170 lbs.,"74.0\"",Orthodox,18.0,9.0,0.0,
Din,Thomas,Dinyero,"5' 9\"",155 lbs.,--,Orthodox,26.0,9.0,0.0,
Ryan,Thomas,The Tank Engine,"6' 0\"",170 lbs.,--,Orthodox,20.0,8.0,0.0,
Noah,Thomas,,"5' 9\"",135 lbs.,--,Orthodox,14.0,7.0,0.0,
Joel,Thomas,The NIce Guy,"5' 10\"",170 lbs.,--,,5.0,2.0,0.0,
Treston,Thomison,,"5' 8\"",145 lbs.,--,,10.0,6.0,0.0,
Nick,Thompson,The Goat,"6' 1\"",170 lbs.,"74.0\"",Orthodox,38.0,14.0,1.0,
James,Thompson,The Colossus,"6' 5\"",265 lbs.,--,Orthodox,20.0,16.0,0.0,
Oli,Thompson,,"6' 1\"",242 lbs.,--,Orthodox,17.0,10.0,0.0,
Stephen,Thompson,Wonderboy,"6' 0\"",170 lbs.,"75.0\"",Orthodox,17.0,6.0,1.0,
Josh,Thomson,The Punk,"5' 10\"",155 lbs.,"71.0\"",Orthodox,22.0,9.0,0.0,
Simeon,Thoresen,The Grin,"6' 1\"",170 lbs.,"79.0\"",Orthodox,17.0,6.0,1.0,
Josh,Thornburg,,"6' 0\"",170 lbs.,--,,8.0,8.0,0.0,
Gleison,Tibau,,"5' 10\"",155 lbs.,"71.0\"",Southpaw,33.0,14.0,0.0,
Chris,Tickle,BadBoy,"5' 9\"",155 lbs.,--,,9.0,9.0,0.0,
Nolan,Ticman,,"5' 6\"",125 lbs.,--,Orthodox,4.0,3.0,0.0,
Darren,Till,The Gorilla,"6' 0\"",185 lbs.,"74.0\"",Southpaw,18.0,5.0,1.0,
Brett,Tillis,,--,145 lbs.,--,,0.0,0.0,0.0,
Denis,Tiuliulin,,"6' 1\"",185 lbs.,"77.0\"",Orthodox,11.0,7.0,0.0,
Ryan,Tobar,,--,155 lbs.,--,,3.0,3.0,0.0,
Andrew,Todhunter,The Sniper,"6' 0\"",185 lbs.,--,Switch,8.0,0.0,0.0,
Dusko,Todorovic,Thunder,"6' 1\"",185 lbs.,"74.0\"",Orthodox,12.0,4.0,0.0,
Tuco,Tokkos,,"6' 4\"",205 lbs.,"75.0\"",Orthodox,7.0,3.0,0.0,
Hideo,Tokoro,,"5' 7\"",135 lbs.,--,Orthodox,34.0,29.0,2.0,
Anatoly,Tokov,,"5' 10\"",185 lbs.,--,,25.0,2.0,0.0,
