First,Last,Nickname,Height in cm,Weight in lbs,Reach in inches,Stance,W,L,D,Belt
Tom,Aaron,0,0.0,155,0.0,0,5.0,3.0,0.0,0.0
Danny,Abbadi,The Assassin,180.34,155,0.0,Orthodox,4.0,6.0,0.0,0.0
Nariman,Abbasov,Bayraktar,172.72,155,167.64000000000001,Orthodox,28.0,4.0,0.0,0.0
David,Abbott,Tank,182.88,265,0.0,Switch,10.0,15.0,0.0,0.0
Hamdy,Abdelwahab,The Hammer,187.96,264,182.88,Southpaw,5.0,0.0,0.0,0.0
Shamil,Abdurakhimov,Abrek,190.5,235,193.04,Orthodox,20.0,8.0,0.0,0.0
Hiroyuki,Abe,Abe Ani,167.64000000000001,145,0.0,Orthodox,8.0,15.0,3.0,0.0
Daichi,Abe,0,180.34,170,180.34,Orthodox,6.0,2.0,0.0,0.0
Papy,Abedi,Makambo,180.34,185,0.0,Southpaw,10.0,4.0,0.0,0.0
Ricardo,Abreu,Demente,180.34,185,0.0,Orthodox,5.0,1.0,0.0,0.0
Klidson,Abreu,White Bear,182.88,205,187.96,Orthodox,15.0,4.0,0.0,0.0
Cyborg,Abreu,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Daniel,Acacio,0,172.72,180,0.0,Orthodox,30.0,18.0,0.0,0.0
John,Adajar,The Outlaw,175.26,170,190.5,Orthodox,6.0,2.0,0.0,0.0
Scott,Adams,0,182.88,225,0.0,Southpaw,8.0,1.0,0.0,0.0
Juan,Adams,The Kraken,195.57999999999998,265,203.2,Orthodox,5.0,3.0,0.0,0.0
Anthony,Adams,Sugafoot,185.42,185,193.04,Orthodox,8.0,2.0,0.0,0.0
Zarrukh,Adashev,The Lion,165.1,125,165.1,Southpaw,4.0,4.0,0.0,0.0
Israel,Adesanya,The Last Stylebender,193.04,185,203.2,Switch,24.0,2.0,0.0,0.0
Sam,Adkins,The Experience,190.5,225,0.0,Orthodox,7.0,20.0,2.0,0.0
Nick,Agallar,0,172.72,155,0.0,Orthodox,24.0,6.0,0.0,0.0
Mariya,Agapova,Demonslayer,167.64000000000001,125,172.72,Southpaw,10.0,4.0,0.0,0.0
Marcelo,Aguiar,0,177.8,170,0.0,Orthodox,2.0,3.0,1.0,0.0
Fabio,Aguiar,0,182.88,185,0.0,0,17.0,1.0,0.0,0.0
Edwin,Aguilar,Tigre,177.8,185,0.0,0,26.0,19.0,0.0,0.0
Jessica,Aguilar,Jag,160.02,115,160.02,Orthodox,20.0,8.0,0.0,0.0
Kevin,Aguilar,Angel of Death,170.18,155,185.42000000000002,Orthodox,17.0,5.0,0.0,0.0
Jesus,Aguilar,0,162.56,125,157.48,Orthodox,9.0,2.0,0.0,0.0
Christian,Aguilera,The Beast,175.26,170,182.88,Switch,14.0,8.0,0.0,0.0
Nick,Aguirre,Slick,175.26,145,187.96,Southpaw,7.0,1.0,0.0,0.0
Mike,Aina,Iron,175.26,155,0.0,Orthodox,14.0,6.0,1.0,0.0
Ashiek,Ajim,Peak Physique,172.72,135,180.34,Switch,6.0,2.0,0.0,0.0
Hitomi,Akano,Girlfight Monster,162.56,135,0.0,Southpaw,18.0,10.0,0.0,0.0
Omari,Akhmedov,Wolverine,182.88,185,185.42000000000002,Orthodox,21.0,6.0,1.0,0.0
Yoshihiro,Akiyama,0,177.8,170,190.5,Orthodox,14.0,6.0,0.0,0.0
Rostem,Akman,0,177.8,170,182.88,Switch,6.0,2.0,0.0,0.0
Razak,Al-Hassan,0,187.96,205,0.0,Orthodox,13.0,5.0,0.0,0.0
Abdul-Kareem,Al-Selwady,Pride of Palestine,0.0,155,0.0,0,14.0,3.0,0.0,0.0
Mostapha,Al-Turk,0,187.96,245,195.58,Orthodox,6.0,6.0,0.0,0.0
Herdem,Alacabek,0,187.96,205,190.5,Orthodox,5.0,1.0,0.0,0.0
Javi,Alanis,0,167.64000000000001,135,0.0,0,0.0,4.0,0.0,0.0
0,Alatengheili,The Mongolian Knight,165.1,135,167.64000000000001,Orthodox,16.0,8.0,2.0,0.0
Amir,Albazi,The Prince,165.1,125,172.72,Orthodox,17.0,1.0,0.0,0.0
Brett,Albee,0,0.0,225,0.0,0,3.0,2.0,0.0,0.0
John,Albert,Prince,172.72,135,172.72,Orthodox,6.0,5.0,0.0,0.0
Junior,Albini,Baby,190.5,264,187.96,Orthodox,14.0,6.0,0.0,0.0
Wes,Albritton,0,177.8,188,0.0,Orthodox,0.0,1.0,0.0,0.0
Aleksandra,Albu,Stitch,157.48000000000002,115,160.02,Orthodox,3.0,2.0,0.0,0.0
Israel,Albuquerque,0,0.0,185,0.0,Orthodox,0.0,3.0,0.0,0.0
Juan,Alcain,0,0.0,0,0.0,0,1.0,2.0,0.0,0.0
Iuri,Alcantara,Marajo,175.26,135,180.34,Southpaw,35.0,10.0,0.0,0.0
Ildemar,Alcantara,Marajo,187.96,185,198.12,Orthodox,21.0,11.0,0.0,0.0
Alfonso,Alcarez,0,160.02,145,0.0,0,1.0,3.0,1.0,0.0
Gilbert,Aldana,El Peligro,185.42,250,0.0,Orthodox,6.0,2.0,0.0,0.0
Irene,Aldana,0,175.26,135,172.72,Orthodox,14.0,7.0,0.0,0.0
Hector,Aldana,0,180.34,170,182.88,Orthodox,4.0,3.0,0.0,0.0
Jose,Alday,Pochito,170.18,135,172.72,Orthodox,14.0,6.0,1.0,0.0
Jose,Aldo,0,170.18,135,177.8,Orthodox,31.0,8.0,0.0,0.0
JJ,Aldrich,0,165.1,125,170.18,Southpaw,11.0,6.0,0.0,0.0
Irina,Alekseeva,Russian Ronda,172.72,135,170.18,Orthodox,5.0,1.0,0.0,0.0
Talita,Alencar,0,0.0,115,0.0,0,4.0,0.0,0.0,0.0
Jim,Alers,The Beast,175.26,145,180.34,Orthodox,13.0,3.0,0.0,0.0
John,Alessio,The Natural,177.8,155,182.88,Orthodox,35.0,17.0,0.0,0.0
Houston,Alexander,The Assassin,182.88,205,182.88,Orthodox,17.0,15.0,1.0,0.0
Kenneth,Alexander,The Machine,175.26,155,0.0,Orthodox,7.0,6.0,0.0,0.0
Lucas,Alexander,The Lion,180.34,145,185.42000000000002,Orthodox,8.0,3.0,0.0,0.0
Marcio,Alexandre Junior,Lyoto,182.88,185,190.5,Southpaw,17.0,4.0,0.0,0.0
Olaf,Alfonso,0,187.96,170,0.0,Orthodox,8.0,12.0,0.0,0.0
Pablo,Alfonso,The Hurricane,172.72,145,0.0,0,9.0,7.0,0.0,0.0
Levi,Alford,0,0.0,0,0.0,0,1.0,7.0,0.0,0.0
Bill,Algeo,Senor Perfecto,182.88,145,185.42000000000002,Switch,17.0,7.0,0.0,0.0
Royce,Alger,0,177.8,199,0.0,Orthodox,3.0,2.0,0.0,0.0
Amir,Aliakbari,0,190.5,250,0.0,0,10.0,1.0,0.0,0.0
Sultan,Aliev,0,180.34,170,187.96,Orthodox,15.0,3.0,0.0,0.0
Nurullo,Aliev,Tajik Eagle,177.8,155,182.88,Orthodox,9.0,0.0,0.0,0.0
Ikram,Aliskerov,0,182.88,185,193.04,Southpaw,14.0,1.0,0.0,0.0
Leon,Aliu,The Albanian Lion,182.88,185,187.96,Orthodox,10.0,2.0,0.0,0.0
John,Allan,0,185.42,205,190.5,Orthodox,13.0,7.0,0.0,0.0
George,Allen,0,187.96,205,0.0,Open Stance,13.0,19.0,2.0,0.0
Arnold,Allen,Almighty,172.72,145,177.8,Southpaw,19.0,2.0,0.0,0.0
Brendan,Allen,All In,187.96,185,190.5,Orthodox,22.0,5.0,0.0,0.0
Ben,Alloway,Blanco,180.34,170,193.04,Orthodox,18.0,8.0,0.0,0.0
Assu,Almabayev,Zulfikar,0.0,125,0.0,0,17.0,2.0,0.0,0.0
Ricardo,Almeida,Big Dog,182.88,170,187.96,Orthodox,13.0,5.0,0.0,0.0
Magno,Almeida,0,182.88,155,0.0,0,10.0,3.0,0.0,0.0
Thomas,Almeida,Thominhas,170.18,145,177.8,Southpaw,22.0,5.0,0.0,0.0
Ericka,Almeida,0,167.64000000000001,115,0.0,Orthodox,7.0,3.0,0.0,0.0
Estefani,Almeida,0,162.56,125,0.0,Orthodox,7.0,3.0,0.0,0.0
Jailton,Almeida,Malhadinho,190.5,205,200.66,Orthodox,19.0,2.0,0.0,0.0
